Skills,Umbrella_Term
n-?gram,nlp-n-gram model
regex,nlp-regular expression
regular expression,nlp-regular expression
sentiment analysis,nlp-sentiment analysis
sentiment with neural nets,nlp-sentiment analysis
tf-idf,nlp-tf-idf
term frequency,nlp-tf-idf
term frequency inverse document frequency,nlp-tf-idf
tokenization,nlp-tokenization
vector space models,nlp-vector space models
word embeddings,nlp-word embeddinngs
mathematical optimization,optimization
\bpca\b,principal component analysis
\bpca\b,principal component analysis
principal component analysis,principal component analysis
prpl,probabilistic programming language
probabilistic programming language,probabilistic programming language
process mining,process analytics
process modeling,process analytics
process optimization,process analytics
computer programming,programming
debugging,programming
logic programming,programming
coding,programming
\bapi\b,programming-api
application programming interface,programming-api
functional programming,programming-functional
lookup table,programming-lookup table
oop,programming-oop
object-?oriented programming,programming-oop
virtualization,programming-virtualization
project management,project management
python,python
python programming,python
pandas,python - pandas
numpy,python -numpy
biopython,python-biopython
matplotlib,python-matplotlib
grouped data,python-pandas
pivot table,python-pandas
plotly,python-plotly
seaborn,python-seaborn
\br\b,r programming
\br\b,r programming
rstudio,r programming-rstudio
ggplot,r-ggplot
reinforcement learning,rl
scala programming,scala
scikit-learn,scikit-learn
simulation,simulation
splunk,splunk
microsoft excel,spreadsheets
spreadsheet,spreadsheets
critical value,statistics
general statistics,statistics
likelihood function,statistics
statistical analysis,statistics
statistical data,statistics
statistical methods,statistics
statistics,statistics
medical statistics,statistics
uncertainty analysis,statistics
multivariate analysis,statistics
multivariate statistics,statistics
anova,statistics-analysis of variance
analysis of variance,statistics-analysis of variance
variational bayesian methods,statistics-bayesian
bayesian statistics,statistics-bayesian
bayes theorem,statistics-bayesian
bayesian network,statistics-bayesian
bayesian optimization,statistics-bayesian
causal inference,statistics-causality
causality,statistics-causality
chi-?2,statistics-chi-squared distribution
chi-?squared distribution,statistics-chi-squared distribution
confidence interval,statistics-confidence interval
basic descriptive statistics,statistics-descriptive
summary statistics,statistics-descriptive
distribution,statistics-distributions
gaussian process,statistics-gausian distribution
gaussian,statistics-gausian distribution
\ba/b\b,statistics-hypothesis testing
a/b testing,statistics-hypothesis testing
p-value,statistics-hypothesis testing
statistical hypothesis testing,statistics-hypothesis testing
treatment effect estimation,statistics-hypothesis testing
statistical inference,statistics-inference
statistical inferences,statistics-inference
interaction (statistics)  ,statistics-interaction
interactive visualization,statistics-interaction
interactivity,statistics-interaction
statistical classification,statistics-models
statistical model,statistics-models
monte carlo simulation,statistics-monte carlo methods
gibbs sampling,statistics-monte carlo methods
normal distribution,statistics-normal distribution
poisson distribution,statistics-poison distribution
probability,statistics-probability
conditional probability,statistics-probability
statistical regression,statistics-regression
kafka,stream analytics: tool-kafka
supervised learning,supervised learning
time series analysis,time series analysis
time series,time series analysis
multivariate time series analysis,time series analysis
time series,time series model
time-to-event modeling,time series model
power bi,visualisation: tool-power bi
tableau,visualisation: tool-tableau
